stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
9,54,6.7888,1.5348,6.5536,589,4686979072,123,6,21,19
9,55,6.2321,1.8586,6.4152,527,4686979072,123,6,21,19
9,56,5.5537,1.5028,5.6506,527,4686983168,123,6,21,19
9,57,6.2339,1.6416,6.1224,541,4686983168,123,6,21,19
9,58,6.7181,1.7379,6.5377,527,4686983168,123,6,21,19
9,59,5.3132,1.6588,5.5386,529,4686983168,123,6,21,19
9,60,6.3012,1.5462,6.2986,590,4686983168,123,6,21,19
9,61,6.4062,1.6349,6.2770,527,4686983168,123,6,21,19
9,62,6.2564,1.6627,5.8987,527,4686983168,123,6,21,19
9,63,5.6131,1.9253,6.0667,541,4686983168,123,6,21,19
9,64,6.7618,1.7253,6.5288,528,4686983168,123,6,21,19
9,65,5.9185,1.6602,6.0215,527,4686983168,123,6,21,19
9,66,6.3964,1.6089,6.5274,589,4686983168,123,6,21,19
9,67,5.5766,1.5350,5.5277,527,4686983168,123,6,21,19
9,68,6.5015,1.6458,6.4089,527,4686983168,123,6,21,19
9,69,6.0225,1.6654,6.0370,541,4686983168,123,6,21,19
9,70,6.8378,1.7118,6.5173,527,4686983168,123,6,21,19
9,71,5.8368,1.9003,5.8298,527,4686983168,123,6,21,19
9,72,5.6579,1.9642,5.9562,589,4686983168,123,6,21,19
9,73,6.1704,1.5946,6.1174,527,4686983168,123,6,21,19
9,74,5.8055,1.4993,5.8927,528,4686983168,123,6,21,19
9,75,6.6724,1.6469,6.5495,541,4686983168,123,6,21,19
9,76,5.8090,1.5949,5.8545,527,4686983168,123,6,21,19
9,77,5.7216,1.5151,5.7273,528,4686999552,123,6,21,19
9,78,7.7864,1.7546,7.0119,527,4687011840,123,6,21,19
9,79,4.6403,2.2208,5.3888,527,4687032320,123,6,21,19
9,80,6.3441,1.6741,6.1573,527,4687044608,123,6,21,19
9,81,6.2570,1.7287,6.3150,548,4687114240,123,6,21,19
9,82,6.2717,1.5799,6.0453,528,4687118336,123,6,21,19
9,83,5.5718,1.9293,5.9143,528,4687118336,123,6,21,19
9,84,6.2276,1.4939,6.2142,590,4687118336,123,6,21,19
9,85,6.2655,1.6069,6.1057,527,4687118336,123,6,21,19
9,86,6.2483,1.8081,6.1884,527,4687118336,123,6,21,19
9,87,6.6123,1.7259,6.2648,541,4687118336,123,6,21,19
9,88,5.5876,1.9041,6.0993,527,4687118336,123,6,21,19
9,89,5.9614,1.4822,6.0208,527,4687118336,123,6,21,19
9,90,6.5146,1.6683,6.3387,590,4687118336,123,6,21,19
9,91,6.2771,1.7232,6.1385,529,4687118336,123,6,21,19
9,92,6.0181,1.6369,6.1633,527,4687118336,123,6,21,19
9,93,6.6384,1.6069,6.4847,542,4687118336,123,6,21,19
9,94,6.1705,1.8092,6.1516,531,4687118336,123,6,21,19
9,95,5.8199,1.7170,5.8316,529,4687118336,123,6,21,19
9,96,5.8460,1.6210,5.8344,593,4687118336,123,6,21,19
9,97,7.1944,1.7086,7.2171,527,4687118336,123,6,21,19
9,98,5.2967,1.7636,5.2503,527,4687118336,123,6,21,19
9,99,6.0003,1.5195,6.2788,576,4687118336,123,6,21,19
9,100,6.1242,1.5337,5.9402,527,4687118336,123,6,21,19
9,101,5.8710,1.6223,5.8417,527,4687118336,123,6,21,19
9,102,7.1806,1.6006,7.1218,589,4687118336,123,6,21,19
9,103,6.7750,1.9367,6.1116,528,4687118336,123,6,21,19
9,104,4.7051,2.2498,5.4326,528,4687118336,123,6,21,19
9,105,5.9998,1.6338,5.9230,542,4687118336,123,6,21,19
9,106,6.4037,1.5343,6.4414,527,4687118336,123,6,21,19
9,107,6.1107,1.6511,5.9992,528,4687118336,123,6,21,19
9,108,6.6974,1.6836,6.7525,589,4687138816,123,6,21,19
9,109,5.9223,1.6816,5.7681,528,4687138816,123,6,21,19
9,110,6.3371,1.6848,6.4065,528,4687138816,123,6,21,19
9,111,5.7196,1.5922,5.9515,542,4687204352,123,6,21,19
9,112,8.0143,1.7277,7.2295,528,4687204352,123,6,21,19
9,113,5.4056,2.2705,5.7081,528,4687204352,123,6,21,19
9,114,5.6866,1.7094,6.0317,589,4687204352,123,6,21,19
9,115,6.3863,1.5761,5.8729,528,4687208448,123,6,21,19
9,116,5.9329,2.1870,6.1334,527,4687208448,123,6,21,19
9,117,6.4185,1.5454,6.7222,541,4687208448,123,6,21,19
9,118,6.2213,1.7312,5.8926,527,4687208448,123,6,21,19
9,119,5.5995,1.6524,5.7582,528,4687212544,123,6,21,19
